id,name
mn0000514192,Mr. Lil One
mn0000057248,Big Dumb Face
mn0001480511,Para
mn0000066658,Balfa Toujours
mn0000125822,Exodus
mn0000923284,Waco Brothers
mn0000788937,"Evelyn ""Champagne"" King"
mn0000072151,The Cheeky Girls
mn0000753443,Peccatum
mn0000298436,Sara Groves
mn0000519762,Lustans Lakejer
mn0000516020,Tommy Stinson
mn0000308772,Nancy LaMott
mn0001602026,Heinrich Ignaz Franz von Biber
mn0000000756,All Natural
mn0000072605,The Great Divide
mn0000201983,Westlife
mn0001500009,Missus Beastly
mn0000026161,Terrance Simien
mn0000840708,Vengaboys
mn0000545534,Cannibal Corpse
mn0000018786,Tego Calderón
mn0000310724,Penetration
mn0000085351,Kelley Stoltz
mn0000763997,The Churchills
mn0000954181,Heiko Voss
mn0000221844,Rusted Root
mn0000070704,Big Mountain
mn0001385543,Where Angels Fall
mn0000135686,Jimpster
mn0000348039,Jim Kweskin & the Jug Band
mn0000217963,John D. Loudermilk
mn0000093613,Black Magic
mn0000299289,Lovehammers
mn0000091700,Reyli
mn0000048806,Soulwax
mn0000597309,Tina Turner
mn0000206973,Vic Chesnutt
mn0000011404,Tara MacLean
mn0000262609,I Mother Earth
mn0000919436,Modern Life Is War
mn0000674718,Pride Tiger
mn0000116388,Kurtis Blow
mn0000060855,Big Head Todd & the Monsters
mn0000600920,Agnetha Fältskog
mn0000624380,Beneath the Sky
mn0000597211,Afterhours
mn0000069153,Joan Baez
mn0001953486,Susanne Sundfør
mn0000020319,Shel Silverstein
mn0000161545,Freedom Call
mn0001575400,Veronica Maggio
mn0001916318,Gorki
mn0000396698,Niamh Parsons
mn0000646590,Capone-N-Noreaga
mn0000774733,Chris Bowden
mn0000771300,Mistah F.A.B.
mn0000678650,Winger
mn0000314020,Pete Belasco
mn0000169568,Fennesz
mn0000820913,Richard Rodgers
mn0001635335,Magic Bullets
mn0001402129,Christina y los Subterraneos
mn0000214173,Dillinger
mn0000030431,Slowdive
mn0000563760,Dakar & Grinser
mn0000157273,Split Habit
mn0000620495,The Breeders
mn0000005755,Seiji
mn0000173049,Farofa Carioca
mn0000171993,Joe Smooth
mn0000752022,Supersuckers
mn0000359326,Primus
mn0000800359,Doris Days
mn0000997002,Thrushes
mn0000635760,David Benoit
mn0000211146,David Lindley
mn0002012483,H.O.S.H.
mn0000111323,Cryptic Slaughter
mn0000197757,Warren Haynes
mn0000292019,Ron Trent
mn0000101961,Chase & Status
mn0001319229,Stage
mn0000160360,Beau Dommage
mn0000613939,Ralph Sliwinski
mn0000243008,Weezer
mn0000922911,Mojave 3
mn0000625561,Ossian
mn0000869356,Mekon
mn0000570067,The Trammps
mn0000479099,The Underdog Project
mn0000833738,"Robert Lockwood, Jr."
mn0000229863,Lopazz
mn0000609830,Brad Gillis
mn0000447197,Nocturnal Emissions
mn0000303429,Rudresh Mahanthappa
mn0000747101,Sister 7
mn0000126782,Lambchop
mn0001050429,M1
mn0000819584,Devics
mn0000781690,AC Slater
mn0000399550,Girls in Hawaii
mn0000048481,The Black Dog
mn0000808201,The Village People
mn0000015387,Starecase
mn0000576315,Windy & Carl
mn0000051370,Matt Hales
mn0000161631,Fluxion
mn0001021918,Like Honey
mn0000128681,Afroman
mn0000319219,Rachael Lampa
mn0000263937,Dio
mn0000239329,John Zorn
mn0000406733,Meredith Monk
mn0000761179,Beyoncé
mn0000000441,P.O.D.
mn0000834790,Love Affair
mn0000745915,Paul Anka
mn0000240583,Waylon Payne
mn0000375659,Nação Zumbi
mn0000504137,The Deadly Syndrome
mn0000031067,Solomon Burke
mn0001589016,A Brand
mn0000194153,Gowan
mn0000094224,Ike & Tina Turner
mn0000635467,Bumble Bee Slim
mn0000410010,Nicolette
mn0000385825,Radiorama
mn0000806542,Etta James
mn0000026231,Stereo Fuse
mn0000738842,Erin McCarley
mn0000959591,Wild Orchid
mn0000604940,Timothy B. Schmit
mn0000322584,The Audition
mn0000282458,Logg
mn0000394542,Flotation Toy Warning
mn0000381280,Race Car Riot
mn0000234488,Del McCoury
mn0000749743,Steps
mn0000624495,Rosenstolz
mn0000153621,Earl Gaines
mn0002196268,Zola Jesus
mn0000191045,Funeral Dress
mn0000112386,Mark Sultan
mn0002565731,Myon & Shane 54
mn0001631891,The Right Ons
mn0000255629,July Skies
mn0000113735,Guerilla Black
mn0000749504,Stéphane Grappelli
mn0000569402,The Teardrop Explodes
mn0000188847,Gary Puckett & the Union Gap
mn0001506344,Besties
mn0001007283,It's a Musical
mn0000230244,Local H
mn0000942516,Vaya con Dios
mn0000088776,The Jewels
mn0000355412,Placebo
mn0000936315,Todos Tus Muertos
mn0000823469,Jonathan Larson
mn0000817581,Watts Prophets
mn0000673360,Helen Forrest
mn0000208304,Lost Witness
mn0000009484,Trae
mn0002312545,Kettcar
mn0000824199,Diecast
mn0000302942,Border Crossing
mn0000801963,Floyd Taylor
mn0000489658,Anthony Phillips
mn0000313915,Lujuria
mn0000922178,3 Colours Red
mn0000000589,Tony Furtado
mn0000049501,Head of Femur
mn0000388794,R.J. Mischo
mn0000220403,Hombres G
mn0000923110,Sumo
mn0000546016,Beardfish
mn0000419999,Raz Ohara
mn0000976062,Ocote Soul Sounds
mn0000128846,Jah Wobble's Invaders of the Heart
mn0000664519,Good Riddance
mn0000103025,The Crimea
mn0000154533,Ewan MacColl
mn0000377581,Mary Margaret O'Hara
mn0000498102,Over the Rhine
mn0000216468,David Holmes
mn0000979547,Rob de Nijs
mn0000768585,Billy Talent
mn0001569658,Partenaire Particulier
mn0000798795,Enrico Macias
mn0000656909,DJ Jean
mn0000081017,Kitaro
mn0000026952,Smokie Norful
mn0000900246,The Soggy Bottom Boys
mn0000751870,Andrea Marcovicci
mn0001766955,Sonic Division
mn0000594113,Acceptance
mn0000683065,Wynn Stewart
mn0000843502,Peter Himmelman
mn0000480086,Modest Mouse
mn0000636394,Strung Out
mn0000838358,Savas Pascalidis
mn0000004358,Tony Rebel
mn0000008830,Toxic Waste
mn0000737770,Donald Lawrence
mn0000545137,Excalion
mn0000309839,Justin Tubb
mn0000137084,Jody Watley
mn0000949481,Novalima
mn0000039661,Sonny Terry
mn0000182900,Fleetwood Mac
mn0000136311,Discount
mn0000798587,Finger Eleven
mn0000592648,Afro Medusa
mn0000744556,Seven Channels
mn0000078160,Bahamadia
mn0000150062,Earl Hooker
mn0000658149,Heartless Bastards
mn0000412513,The Pixies Three
mn0000097491,Kittie
mn0000762652,Big Youth
mn0000014665,Trek Life
mn0000766336,Bal-Sagoth
mn0000792841,Tora Tora
mn0000654209,DJ Format
mn0000861703,Nelson Ned
mn0001428966,Lord Kossity
mn0000580379,1990s
mn0001890528,Chris Bathgate
mn0000098891,He Is Legend
mn0002363246,Black Light Discipline
mn0000231870,Mad Caddies
mn0000222927,Uncle Tupelo
mn0000674263,Daniel Johnston
mn0000215927,Jonah 33
mn0000227460,Deems
mn0001011318,Breathe Carolina
mn0000889818,Rhinoceros
mn0002120646,Roc C.
mn0000826381,Jonny Greenwood
mn0000162122,Beaver Harris
mn0000178549,The Edge
mn0001554678,Psilodump
mn0000611856,Muriel Anderson
mn0000673582,Marcus Intalex
mn0000010458,Alison Moyet
mn0000476242,Orange Bicycle
mn0001062566,Ewan McGregor
mn0000118189,Clay Walker
mn0000907133,Natural-Self
mn0000055692,Blood Has Been Shed
mn0000638805,Ola Podrida
mn0000241226,Salim Nourallah
mn0000178753,Javiera Y Los Imposibles
mn0000227415,Dee Dee Bridgewater
mn0000016059,Trashmonkeys
mn0000127373,Jah Warrior
mn0000144102,Claudia Acuña
mn0000133664,Cryonic Temple
mn0001560249,Guerilla Poubelle
mn0000840039,Perry Blake
mn0000753742,Sia
mn0000727991,The Sound of Animals Fighting
mn0000168125,Ben Jelen
mn0000078622,Instant Funk
mn0000292795,Samael
mn0000266002,Pete Rock
mn0000165830,Cocoa Tea
mn0000745687,Spiral Architect
mn0000115474,Guilty Connector
mn0000200629,Two Lone Swordsmen
mn0000929573,Aesop Rock
mn0000673703,Daniel Balavoine
mn0001046455,The Eyes of a Traitor
mn0000308645,Pulp
mn0000018264,Patti Labelle & the Bluebelles
mn0000077871,The Gerbils
mn0000481461,Orleans
mn0000519637,Brian Setzer
mn0000030639,Slow Coming Day
mn0000479687,Midge Ure
mn0000296750,KMD
mn0000204850,Charles Earland
mn0000376422,Queens of the Stone Age
mn0000808250,Jan Akkerman
mn0000175379,Unearth
mn0001963003,Tricot Machine
mn0000300963,Karen Young
mn0000409908,Nils Landgren
mn0000300655,Kalimba
mn0001499721,Dawn Kinnard
mn0000339615,Joe Purdy
mn0000584327,Antoine Clamaran
mn0000090500,Krizz Kaliko
mn0000419533,Mental as Anything
mn0000146117,Elite Force
mn0000264430,Hooverphonic
mn0000745209,Sheek Louch
mn0000323652,Ned Miller
mn0000731047,Svalastog
mn0000263995,Jeffrey Lewis
mn0000324646,Ned's Atomic Dustbin
mn0000756660,Bling Dawg
mn0000026825,Paula Cole
mn0000903710,Niccolò Fabi
mn0000661756,Gilbert Bécaud
mn0000395105,The New Orleans Ragtime Orchestra
mn0000840993,Seatrain
mn0000341137,Roy Buchanan
mn0000733005,Hurricane Chris
mn0000176281,Russ Morgan
mn0001889346,Friedel Hensch & Die Cyprys
mn0001443667,Turbostaat
mn0001309036,Dominique Dalcan
mn0000953398,The Whip
mn0000677991,John Scofield
mn0001917464,Nancy Jacobs & Her Sisters
mn0000379645,Naglfar
mn0001681602,Absolute Body Control
mn0000578028,Mojo Nixon
mn0000751227,Paul Wright
mn0000022348,Patty Griffin
mn0000079208,The Gloria Record
mn0000034988,Swans
mn0000613368,Alberto Cortéz
mn0000073845,Bobby Pulido
mn0000194582,Emo
mn0000535282,Burns Out Bright
mn0000140213,EC8OR
mn0000541348,Kevin Eubanks
mn0000923745,Aaron Carter
mn0000259800,Saxon
mn0000507275,Art Lund
mn0000906358,One Dollar Short
mn0000681229,Wonderland Avenue
mn0000075623,Matisyahu
mn0000019297,America
mn0000807221,Johan
mn0000412134,The Pioneers
mn0000886695,Ryan Auffenberg
mn0001344827,Quatuor Danel
mn0000788950,Battalion of Saints
mn0000574540,The Spinanes
mn0000952522,Goldblade
mn0000150590,Eiffel 65
mn0000311674,Vanilla Fudge
mn0000839929,Peter & the Test Tube Babies
mn0000579035,Sun City Girls
mn0000064199,Jimmy Martin
mn0000715078,Sonic Syndicate
mn0000280853,Hubert Kah
mn0002055729,The Summer Set
mn0000591293,Yonderboi
mn0000798682,El Arranque
mn0000938737,Ben Westbeech
mn0000343396,Roy Brown
mn0000412715,Ralfi Pagan
mn0000838563,Justo Almario
mn0000728740,Carlos Berlanga
mn0000573604,707
mn0000272567,Louis Prima
mn0000388352,Michael Askill
mn0000024219,Tristeza
mn0001453990,Hexes & Ohs
mn0000041416,Solar Quest
mn0000173902,Lycia
mn0000094934,Integrity
mn0000783097,Buried Inside
mn0000043714,Bee Gees
mn0001509585,General Fiasco
mn0000907775,Airiel
mn0000121746,Cornershop
mn0000636409,Rino Gaetano
mn0000424513,Mirah
mn0000362636,Karin Krog
mn0000350092,Royal Hunt
mn0001162681,C+C Music Factory
mn0000239921,Depeche Mode
mn0001957805,Manufactura
mn0000600485,Agitation Free
mn0000133626,Jake Holmes
mn0000799053,Donovan
mn0000655214,Gina G.
mn0000109367,Jackson Do Pandeiro
mn0002139189,Basement 5
mn0000019334,Stefon Harris
mn0000765520,Jimmy London
mn0002327363,X-Wife
mn0000668576,Lawrence English
mn0000746748,Aloha
mn0000120521,Chuck Berry
mn0000457877,The White Birch
mn0000538318,Handsome Furs
mn0000769616,Jimmy Rogers
mn0001629859,Hassisen Kone
mn0000253058,Diane Cluck
mn0000166505,Feist
mn0000681154,Yeah Yeah Yeahs
mn0000674370,Herb Eimerman
mn0001465835,The Plan
mn0000561765,DJ Venom
mn0000631538,Amplified Heat
mn0000280993,Lila Downs
mn0000398882,New Power Generation
mn0000253721,Scott Grooves
mn0000047020,The Avons
mn0000852688,Jimmy Eat World
mn0000106145,Colby O'Donis
mn0000591667,Ace Troubleshooter
mn0000207734,Charlie Drake
mn0000618746,Kamchatka
mn0000907676,Young Galaxy
