id,allmusic_id,musicbrainz_ids
250,mt0004036221,['c77a514e-aeb8-4c75-a8c6-bfc41188fdbe']
251,mt0004612687,['f8afcde5-79a7-4822-899f-4ded4c1f796c']
252,mt0003478261,['9a02f1cc-db09-42e6-98b1-8cfa7485caeb']
253,mt0005994927,"['cda32217-2ba2-4bb6-a128-fbeeedf81bcc', '19199d80-61bc-47ab-8095-232ee9421b73', 'eb580601-36a7-4520-9b46-80e497533fb2', '1a2d16f2-72ef-4147-a091-f0eb3a1f0582']"
254,mt0004610261,['47db9387-1370-4743-a220-035859203398']
255,mt0001197473,"['042563ba-b21a-4a2a-885f-33444ef0c8c7', '7c498ef4-6cb2-483f-b304-a2c887cb6c4c']"
256,mt0004916814,['8f9aeba8-0850-48ea-afe8-e5b2f8e5b6e0']
257,mt0002091340,['e250bd2a-c445-4b91-b61c-5b68b38a0f39']
258,mt0013526313,"['e1fb67bf-6096-4b69-8009-4b6ced259c2d', '46ffe125-02c4-46c7-a804-603e7ea41421', '48548e88-ae22-4b43-81db-7aea19f17590', '471561bd-34e1-44bf-8c2e-32d684192cad']"
259,mt0000194148,"['31be6b32-0c04-4c28-9d48-8f3802f9b36d', '49dccc6e-cb4d-418d-b350-62d34ebb7d05']"
260,mt0014430457,"['77d065b6-cb87-42bb-b71d-e0f6fdd3cc46', '37d4b4f0-bce9-4196-855d-1735671a9b09', '9010e901-0541-42db-abf6-f63609256b76', '05b0d12f-8734-4a21-85b5-bfed59e03849']"
261,mt0005606658,"['8098bb77-a83c-48b5-81f7-1f42384cac3f', '8235e6a4-0845-4005-b5cb-0bb33d1018a6']"
262,mt0060540264,"['6ae4143a-20eb-47ff-a8a6-d3fa97f729da', '26d29834-b0fa-402d-864c-9c412ed27883']"
263,mt0060540260,['681a8476-f808-41ce-8dde-084186a51fad']
264,mt0060540065,"['1308b3e5-2450-46ed-bce7-502dfa728436', 'b05f3234-df4f-4d01-9a12-474c196d3de7', '5dd02c58-ad75-4a71-88dd-1398e945c7a4']"
265,mt0019388550,"['53ccaf74-db14-4010-a09b-bf056a267c96', '96bf6cc0-7a76-4cdd-86f2-6e897d104d0b']"
266,mt0060540057,"['417d5601-5dee-4614-8b58-6aa358954bc6', 'e38ebe05-4dfa-484b-9ea3-5457a1d04505', 'b9cae79d-835f-4936-8ad0-2370c7da8b64']"
